sentenceID,clabel,cprob,consequent,gold_consequent,alabel,aprob,antecedent,gold_antecedent
200000,1,100,"could've gotten ""on Main Street"" if the stimulus bill","I don't think any of us---even economic gurus like Paul Krugman---really, truly understand just how bad it could've gotten ""on Main Street""",0,25,the stimulus bill had become hamstrung by a filibuster threat or recalcitrant conservadems,if the stimulus bill had become hamstrung by a filibuster threat or recalcitrant conservadems
200001,1,100,would be hilarious,The GOP's malignant amnesia regarding the economy would be hilarious,1,100,were it not for the wreckage they caused,were it not for the wreckage they caused
200002,1,10,could have been avoided,"OPKO and Dr. Frost would gladly have provided information that would have answered a number of the SEC's apparent questions, and filing of this lawsuit against them could have been avoided",1,75,Had the SEC followed its own standard procedures,Had the SEC followed its own standard procedures
200003,1,100,'d have issued so many subpoenas by now,we'd have issued so many subpoenas by now,0,25,the first four weeks of the #Obama presidency were like this when I worked at #oversight we,if the first four weeks of the #Obama presidency were like this when I worked at #oversight
200004,1,100,could reach 100 people more effectively,I could reach 100 people more effectively,0,25,I had 10 pharmacists who worked with me,If I had 10 pharmacists who worked with me
200005,1,100,would be fixed if that money,Most of the infrastructure issues would be fixed,1,10,hadn't enriched his cronies,if that money hadn't enriched his cronies
200006,0,25,"would look for a reason to postpone the vote, hope to retake the Senate and then","Democrats would look for a reason to postpone the vote, hope to retake the Senate and then",0,25,the nominee were Amy Coney Barrett,if the nominee were Amy Coney Barrett
200007,1,100,would have asked If,I would have asked If I did something wrong,0,25,I did something wrong,If that was my daughter
200008,1,100,wouldn't the civil rights community support him unanimously,wouldn't the civil rights community support him unanimously,0,25,he were in fact a champion for civil rights,if he were in fact a champion for civil rights
200009,0,0,,{},0,25,wish all your articles were worthy of praise,wish all your articles were worthy of praise
200010,1,10,could say I would not have participated in,I probably would have gone all the way to 450 volts,1,10,wish I,I wish I could say I would not have participated in this unethical experiment
200011,1,100,"could have swooped in to save the day, they say, if only they",the military could have swooped in to save the day,1,10,had not been prevented from doing that by Col,if only they had not been prevented from doing that by Col
200012,1,100,would notice,hardly anyone would notice,1,10,had come out,"If some other White House staffer had come out and repeated what Bannon, Tillerson, Cohn or Porter had previous said"
200013,1,100,would have if I lived in,I would have,1,30,I lived in America,if I lived in America
200014,1,100,wouldn't deliver the same premium beer taste that Heineken is known for,but it wouldn't deliver the same premium beer taste that Heineken is known for,1,75,would have been easy,Removing alcohol from regular 5% Heineken would have been easy
200015,1,100,could have trouble buying even with,they could have trouble buying,0,25,Even if most buyers of suburban homes can afford a mortgage payment with a bank account that they have that contains billions of dollars that they can't immediately access,even with a ridiculous amount of money
200016,1,100,would've turned 81 tomorrow,{},1,100,"wish a Happy Birthday to the late George Carlin, who","Raise whatever ya got handy and wish a Happy Birthday to the late George Carlin, who would've turned 81 tomorrow"
200017,1,100,"she would have done better to venture into this territory next year, once markets",{},1,20,had calmed down,she would have done better to venture into this territory next year
200018,1,100,would have,he would have had to settle at the outset for a repair of the Affordable Care Act rather than an attempt to repeal,1,75,had to settle at the outset for a repair of the Affordable Care Act rather than an attempt to repeal,Had he refused to attempt something so partisan and with such long odds of success
